ws,wt,wc,wcl,wd,dm,Score_FGM_mean,duration_s_mean,success_count_sum,fgm_min_d_mean,fgm_ratio_mean
0.75,2.44,1.74,2.6,2.89,0.58,26.639158902937854,13.625,6,0.005405091666666667,0.21825468769167913
0.71,1.96,1.49,2.63,2.87,0.57,25.969350524379266,14.104999999999999,6,0.003470895,0.295602349909515
2.94,1.31,0.88,1.41,1.7,0.44,25.948282673336635,13.711666666666666,6,0.0029592950000000002,0.1782227121299846
0.67,2.03,1.3,2.43,2.7,0.56,25.825870922799652,13.76,6,0.0025990566666666665,0.24823496336315057
0.87,2.62,1.78,2.71,2.9,0.58,25.779332138282896,13.875,6,0.002023636666666667,0.26110969931889666
1.95,2.16,1.32,2.09,2.38,0.5,25.650075080848854,13.951666666666666,6,0.00269435,0.24139015936440186
0.74,2.3,1.61,2.48,2.72,0.56,25.648330825803445,13.729999999999999,6,0.002130026666666667,0.20530136409977315
1.98,2.17,1.43,2.22,2.5,0.53,25.613187256993843,13.883333333333333,6,0.002886718333333333,0.2211338742124379
1.47,2.34,1.59,2.47,2.76,0.57,25.219808227991134,14.101666666666667,6,0.003118125,0.2508906303893045
1.78,1.63,1.0,1.33,0.54,0.48,35.14283054741027,12.232,5,0.002862982,0.3577366675914822
1.67,1.51,0.93,1.24,0.49,0.43,34.40995292893497,12.324,5,0.0033467339999999996,0.3385937036557723
0.7025,1.5402,2.4927,1.6393,1.0657,0.1871,33.34191625379763,12.878,5,0.0029053580000000002,0.32846710026547965
2.83,1.28,0.9,1.43,1.63,0.42,33.3215636063609,12.459999999999999,5,0.0015432419999999998,0.235866400569883
1.58,1.45,0.89,1.18,0.47,0.41,33.07726843944035,12.318,5,0.001884606,0.2992007607844903
1.128,1.2613,3.1432,1.8351,1.6502,0.2074,32.67239651289107,13.132,5,0.007610942,0.2621861793683414
2.61,1.6,0.72,1.14,1.18,0.32,32.37672441950082,12.394,5,0.0019147919999999998,0.2878315048732881
0.5138,0.8112,0.9638,2.6165,2.0187,0.2588,30.781654684100232,13.52,5,0.003044232,0.28463399190758853
2.65,1.64,0.75,1.13,1.14,0.32,30.770644197689183,12.925999999999998,5,0.0019995539999999997,0.2519984483175387
2.84,1.35,0.86,1.39,1.68,0.44,30.73945501658742,12.658,5,0.00258326,0.24532796596022685
0.9569,1.3932,1.4536,1.5237,1.1112,0.1848,30.024187074608847,13.4,5,0.005692694,0.2854332385255221
0.89,2.58,1.75,2.66,2.9,0.58,29.30510454774024,13.408000000000001,5,0.002109584,0.29156835794806446
1.62,2.34,1.63,2.4,2.74,0.57,28.94453869209331,13.466,5,0.002284458,0.2917249191426012
2.72,1.44,0.82,1.34,1.58,0.41,28.897696696999674,13.180000000000001,5,0.002359306,0.18368856918216797
1.44,2.51,1.72,2.55,2.78,0.55,28.599622171453085,13.11,5,0.0076552880000000005,0.20571064451054225
